10:49:01.325 Ambient Temperature:39.41°C Target Temperature:36.15°C
10:49:02.329 Ambient Temperature:39.43°C Target Temperature:36.17°C
10:49:03.334 Ambient Temperature:39.45°C Target Temperature:36.21°C
10:49:04.338 Ambient Temperature:39.45°C Target Temperature:36.23°C
10:49:05.342 Ambient Temperature:39.43°C Target Temperature:36.23°C
10:49:06.346 Ambient Temperature:39.45°C Target Temperature:36.21°C
10:49:07.350 Ambient Temperature:39.43°C Target Temperature:36.25°C
10:49:08.355 Ambient Temperature:39.43°C Target Temperature:36.21°C
10:49:09.361 Ambient Temperature:39.45°C Target Temperature:36.21°C
10:49:10.367 Ambient Temperature:39.47°C Target Temperature:36.23°C
10:49:11.372 Ambient Temperature:39.45°C Target Temperature:36.23°C
10:49:12.377 Ambient Temperature:39.47°C Target Temperature:36.21°C
10:49:13.382 Ambient Temperature:39.53°C Target Temperature:36.17°C
10:49:14.386 Ambient Temperature:39.49°C Target Temperature:36.21°C
10:49:15.391 Ambient Temperature:39.49°C Target Temperature:36.23°C
10:49:16.397 Ambient Temperature:39.53°C Target Temperature:36.25°C
10:49:17.402 Ambient Temperature:39.49°C Target Temperature:36.29°C
10:49:18.407 Ambient Temperature:39.49°C Target Temperature:36.23°C
10:49:19.413 Ambient Temperature:39.49°C Target Temperature:36.25°C
10:49:20.417 Ambient Temperature:39.53°C Target Temperature:36.25°C
10:49:21.421 Ambient Temperature:39.55°C Target Temperature:36.29°C
10:49:22.426 Ambient Temperature:39.55°C Target Temperature:36.25°C
10:49:23.432 Ambient Temperature:39.55°C Target Temperature:36.29°C
10:49:24.437 Ambient Temperature:39.57°C Target Temperature:36.29°C
10:49:25.442 Ambient Temperature:39.57°C Target Temperature:36.31°C
10:49:26.446 Ambient Temperature:39.57°C Target Temperature:36.31°C
10:49:27.451 Ambient Temperature:39.57°C Target Temperature:36.31°C
10:49:28.456 Ambient Temperature:39.55°C Target Temperature:36.31°C
10:49:29.462 Ambient Temperature:39.57°C Target Temperature:36.33°C
10:49:30.467 Ambient Temperature:39.59°C Target Temperature:36.31°C
10:49:31.471 Ambient Temperature:39.59°C Target Temperature:36.31°C
10:49:32.477 Ambient Temperature:39.61°C Target Temperature:36.29°C
10:49:33.481 Ambient Temperature:39.61°C Target Temperature:36.31°C
10:49:34.487 Ambient Temperature:39.61°C Target Temperature:36.31°C
10:49:35.492 Ambient Temperature:39.61°C Target Temperature:36.33°C
10:49:36.498 Ambient Temperature:39.63°C Target Temperature:36.37°C
10:49:37.504 Ambient Temperature:39.63°C Target Temperature:36.33°C
10:49:38.509 Ambient Temperature:39.63°C Target Temperature:36.37°C
10:49:39.514 Ambient Temperature:39.63°C Target Temperature:36.37°C
10:49:40.519 Ambient Temperature:39.63°C Target Temperature:36.31°C
10:49:41.524 Ambient Temperature:39.63°C Target Temperature:36.29°C
10:49:42.530 Ambient Temperature:39.63°C Target Temperature:36.29°C
10:49:43.534 Ambient Temperature:39.65°C Target Temperature:36.31°C
10:49:44.540 Ambient Temperature:39.65°C Target Temperature:36.31°C
10:49:45.545 Ambient Temperature:39.65°C Target Temperature:36.29°C
10:49:46.549 Ambient Temperature:39.67°C Target Temperature:36.31°C
10:49:47.554 Ambient Temperature:39.65°C Target Temperature:36.23°C
10:49:48.560 Ambient Temperature:39.65°C Target Temperature:36.25°C
10:49:49.566 Ambient Temperature:39.67°C Target Temperature:36.25°C
10:49:50.571 Ambient Temperature:39.69°C Target Temperature:36.33°C
10:49:51.576 Ambient Temperature:39.69°C Target Temperature:36.33°C
10:49:52.581 Ambient Temperature:39.67°C Target Temperature:36.33°C
10:49:53.586 Ambient Temperature:39.69°C Target Temperature:36.41°C
10:49:54.591 Ambient Temperature:39.73°C Target Temperature:36.39°C
10:49:55.595 Ambient Temperature:39.67°C Target Temperature:36.37°C
10:49:56.599 Ambient Temperature:39.69°C Target Temperature:36.45°C
10:49:57.604 Ambient Temperature:39.69°C Target Temperature:36.37°C
10:49:58.610 Ambient Temperature:39.69°C Target Temperature:36.41°C
10:49:59.614 Ambient Temperature:39.73°C Target Temperature:36.45°C
10:50:00.619 Ambient Temperature:39.75°C Target Temperature:36.45°C
10:50:01.623 Ambient Temperature:39.75°C Target Temperature:36.39°C
10:50:02.627 Ambient Temperature:39.73°C Target Temperature:36.41°C
10:50:03.632 Ambient Temperature:39.77°C Target Temperature:36.45°C
10:50:04.637 Ambient Temperature:39.77°C Target Temperature:36.37°C
10:50:05.641 Ambient Temperature:39.75°C Target Temperature:36.41°C
